Date,,Payee,Amount,Memo,OrigPayee
8/16/2025,8/16/2025,1 AM LIQUOR BONNYVILLE AB,-19.80,,1 AM LIQUOR BONNYVILLE AB
8/16/2025,8/16/2025,THE PLAYERS LOUNGE 201,-63.40,BONNYVILLE AB,THE PLAYERS LOUNGE 201
9/4/2025,9/4/2025,ALLIANZ GLOBAL ASSISTA,-25.00,CAMBRIDGE ON,ALLIANZ GLOBAL ASSISTA
9/9/2025,9/9/2025,TELUS MOBILITY EDMONTON AB,-168.31,,TELUS MOBILITY EDMONTON AB
9/9/2025,9/9/2025,FAIRMONT YVR FRONT DES,-608.31,RICHMOND BC,FAIRMONT YVR FRONT DES
9/9/2025,9/9/2025,BARNEYS BEANERY LOS ANGELES,-108.23,CA US DOLLAR 75.99 X 1.42426635,BARNEYS BEANERY LOS ANGELES
9/9/2025,9/9/2025,EVOLVE BY HUDSON ST LOS,-67.55,ANGELES CA,EVOLVE BY HUDSON ST LOS
9/9/2025,9/9/2025,WESTJET CALGARY AB,-9.44,,WESTJET CALGARY AB
9/9/2025,9/9/2025,LAX RELAY LOS ANGELES CA,-6.95,,LAX RELAY LOS ANGELES CA
9/9/2025,9/9/2025,LAX CNBC LOS ANGELES CA,-35.56,US DOLLAR 24.97 X 1.42410893,LAX CNBC LOS ANGELES CA
9/10/2025,9/10/2025,PORTILLO HOTEL 2 LOS ANDES CL,-43.01,CL PESO 28930.00 X 0.00148669,PORTILLO HOTEL 2 LOS ANDES CL
9/10/2025,9/10/2025,PORTILLO HOTEL 2 LOS ANDES CL,-34.67,CL PESO 23320.00 X 0.00148670,PORTILLO HOTEL 2 LOS ANDES CL
9/10/2025,9/10/2025,PORTILLO TlO BOBS 2 LOS ANDES,-9.77,CL CL PESO 6600.00 X 0.00148030,PORTILLO TlO BOBS 2 LOS ANDES
9/10/2025,9/10/2025,BKG*BOOKING.COM FLIGHT,1160.25,(917)421 CREDIT,BKG*BOOKING.COM FLIGHT
9/10/2025,9/10/2025,TST* SANTA MONICA BREW EL,-26.74,SEGUNDO CA US DOLLAR 18.78 X 1.42385516,TST* SANTA MONICA BREW EL
9/10/2025,9/10/2025,TST* SANTA MONICA BREW EL,-26.74,SEGUNDO CA US DOLLAR 18.78 X 1.42385516,TST* SANTA MONICA BREW EL
9/10/2025,9/10/2025,YONDER MEDIA MOBILE IN NEW,-38.05,YORK NY US DOLLAR 26.72 X 1.42402694,YONDER MEDIA MOBILE IN NEW
9/11/2025,,OVERLIMIT FEE,-25.00,,OVERLIMIT FEE
9/11/2025,9/11/2025,Fee,-37.70,Total interest charges,Fee
9/23/2025,,PAYMENT - THANK YOU,4000.00,,PAYMENT - THANK YOU
10/8/2025,,PAYMENT - THANK YOU,800.00,,PAYMENT - THANK YOU
9/9/2025,9/12/2025,WESTJET CALGARY AB,-9.49,,WESTJET CALGARY AB
9/11/2025,9/12/2025,PORTILLO CAJA CENT 4 LOS ANDES,-38.23,CL CL PESO 25410.00 X 0.00150452,PORTILLO CAJA CENT 4 LOS ANDES
9/11/2025,9/12/2025,PORTILLO HOTEL 2 LOS ANDES CL,-42.37,CL PESO 28160.00 X 0.00150461,PORTILLO HOTEL 2 LOS ANDES CL
9/12/2025,9/12/2025,HOTEL MAE PUCHUNCAVI CL,-310.59,US DOLLAR 217.26 X 1.42957746,HOTEL MAE PUCHUNCAVI CL
9/12/2025,9/12/2025,PORTILLO CAJA CENT 3 LOS ANDES,-10.37,CL CL PESO 6900.00 X 0.00150289,PORTILLO CAJA CENT 3 LOS ANDES
9/12/2025,9/12/2025,PORTILLO HOTEL 2 LOS ANDES CL,-55.55,CL PESO 36960.00 X 0.00150297,PORTILLO HOTEL 2 LOS ANDES CL
9/12/2025,9/12/2025,PORTILLO HOTEL3 LOS ANDES CL,-37.32,CL PESO 24830.00 X 0.00150302,PORTILLO HOTEL3 LOS ANDES CL
9/13/2025,9/13/2025,PORTILLO HOTEL3 LOS ANDES CL,-121.18,US DOLLAR 84.94 X 1.42665410,PORTILLO HOTEL3 LOS ANDES CL
9/13/2025,9/13/2025,LATIENDA N17 LOS ANDES CL,-34.56,CL PESO 23000.00 X 0.00150260,LATIENDA N17 LOS ANDES CL
9/13/2025,9/13/2025,HOTEL MAE PUCHUNCAVI CL,-19.67,CL PESO 13090.00 X 0.00150267,HOTEL MAE PUCHUNCAVI CL
9/13/2025,9/13/2025,MERPAGO*ELENA PUCHUNCAVI RM,-5.87,CL PESO 3900.00 X 0.00150512,MERPAGO*ELENA PUCHUNCAVI RM
9/14/2025,9/14/2025,VA GANA*CALIFORNIA CAN,-76.07,SANTIAGO CL CL PESO 50616.00 X 0.00150288,VA GANA*CALIFORNIA CAN
9/14/2025,9/14/2025,PETROBRAS LUIS THAJER,-6.30,,PETROBRAS LUIS THAJER
9/14/2025,9/14/2025,MC DONALDS PLACILLA,-13.05,VALPARAISO CL CL PESO 8680.00 X 0.00150345,MC DONALDS PLACILLA
9/14/2025,9/14/2025,UPA F090 PLACILLA VALPARAISO,-21.38,CL CL PESO 14230.00 X 0.00150245,UPA F090 PLACILLA VALPARAISO
9/14/2025,9/14/2025,BA PROVIDENCIA SPA SANTIAGO,-12.22,CL CL PESO 8136.00 X 0.00150196,BA PROVIDENCIA SPA SANTIAGO
9/15/2025,9/15/2025,HIP LIDER PUENTE NUEVO,-31.82,SANTIAGO CL CL PESO 21170.00 X 0.00150307,HIP LIDER PUENTE NUEVO
9/15/2025,9/15/2025,AHUM L453 LS CONDES 12,-38.47,SANTIAGO CL CL PESO 25599.00 X 0.00150279,AHUM L453 LS CONDES 12
9/15/2025,9/15/2025,HOTEL LOS ESPANOLES PL,-5.32,SANTIAGO CL US DOLLAR 3.73 X 1.42627345,HOTEL LOS ESPANOLES PL
9/15/2025,9/15/2025,HOTEL LOS ESPANOLES PL,-266.04,SANTIAGO CL US DOLLAR 186.48 X 1.42664092,HOTEL LOS ESPANOLES PL
9/15/2025,9/15/2025,SHELL.STA MARIA2890.T1 SANTIAGO,-37.59,CL CL PESO 25007.00 X 0.00150317,SHELL.STA MARIA2890.T1 SANTIAGO
9/15/2025,9/15/2025,SHELL.STA MARIA2890.T1 SANTIAGO,-10.51,CL CL PESO 6990.00 X 0.00150357,SHELL.STA MARIA2890.T1 SANTIAGO
9/15/2025,9/15/2025,BAR HOTEL VN BCOIN33 SANTIAGO,-24.88,CL CL PESO 16560.00 X 0.00150241,BAR HOTEL VN BCOIN33 SANTIAGO
9/15/2025,9/15/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-34.99,CL CL PESO 23280.00 X 0.00150300,ALAMBIQUE Y CREPERIE SANTIAGO
9/15/2025,9/15/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-9.92,CL CL PESO 6600.00 X 0.00150303,ALAMBIQUE Y CREPERIE SANTIAGO
9/16/2025,9/16/2025,BOLETERIA PLAT BCOIN36,-30.06,SANTIAGO CL CL PESO 20000.00 X 0.00150300,BOLETERIA PLAT BCOIN36
9/16/2025,9/16/2025,REST BAJO ZERO BCOIN33,-10.37,SANTIAGO CL CL PESO 6900.00 X 0.00150289,REST BAJO ZERO BCOIN33
9/16/2025,9/16/2025,RESTAURANTE 3100 SANTIAGO CL,-40.57,CL PESO 27000.00 X 0.00150259,RESTAURANTE 3100 SANTIAGO CL
9/16/2025,9/16/2025,REST FOURCHETTE BCOIN3,-128.80,SANTIAGO CL CL PESO 85800.00 X 0.00150116,REST FOURCHETTE BCOIN3
9/16/2025,9/16/2025,PUB TRES PUNTAS BCOIN3,-24.86,SANTIAGO CL CL PESO 16560.00 X 0.00150120,PUB TRES PUNTAS BCOIN3
9/16/2025,9/16/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-16.03,CL CL PESO 10680.00 X 0.00150093,ALAMBIQUE Y CREPERIE SANTIAGO
9/16/2025,9/16/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-9.77,CL CL PESO 6500.00 X 0.00150307,ALAMBIQUE Y CREPERIE SANTIAGO
9/16/2025,9/16/2025,LYON COMERCIAL EQUIP,-6.01,SANTIAGO 13 CL PESO 4000.00 X 0.00150250,LYON COMERCIAL EQUIP
9/16/2025,9/16/2025,COMPRAVENTA PRODUCT,-22.51,SANTIAGO 13 CL PESO 15000.00 X 0.00150066,COMPRAVENTA PRODUCT
9/17/2025,9/17/2025,PUB TRES PUNTAS BCOIN3,-14.26,SANTIAGO CL CL PESO 9504.00 X 0.00150042,PUB TRES PUNTAS BCOIN3
9/17/2025,9/17/2025,PUB TRES PUNTAS BCOIN3,-18.45,SANTIAGO CL CL PESO 12288.00 X 0.00150146,PUB TRES PUNTAS BCOIN3
9/17/2025,9/17/2025,VN STORE PLAT BCOIN34 SANTIAGO,-113.96,CL CL PESO 75920.00 X 0.00150105,VN STORE PLAT BCOIN34 SANTIAGO
9/17/2025,9/17/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-46.47,CL CL PESO X 0.00150096 30960.00,ALAMBIQUE Y CREPERIE SANTIAGO
9/17/2025,9/17/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-14.23,,ALAMBIQUE Y CREPERIE SANTIAGO
9/17/2025,9/17/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-9.91,CL CL PESO 6600.00 X 0.00150151,ALAMBIQUE Y CREPERIE SANTIAGO
9/17/2025,9/17/2025,COMPRAVENTA PRODUCT,-11.99,SANTIAGO 13,COMPRAVENTA PRODUCT
9/18/2025,9/18/2025,REST BAJO ZERO BCOIN33,-6.74,SANTIAGO CL CL PESO 4500.00 X 0.00149777,REST BAJO ZERO BCOIN33
9/18/2025,9/18/2025,RECEPCION HVN SANTIAGO CL,-20.03,US DOLLAR 14.04 X 1.42663817,RECEPCION HVN SANTIAGO CL
9/18/2025,9/18/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-14.20,CL CL PESO X 0.00149789 9480.00,ALAMBIQUE Y CREPERIE SANTIAGO
9/18/2025,9/18/2025,ALAMBIQUE Y CREPERIE SANTIAGO,-13.02,CL,ALAMBIQUE Y CREPERIE SANTIAGO
9/18/2025,9/18/2025,CL PESO  X 0.00149827,-96.54,8690.00 ALAMBIQUE Y CREPERIE SANTIAGO CL CL PESO 64440.00 X 0.00149813,CL PESO  X 0.00149827
9/18/2025,9/18/2025,PETROBRAS LA DEHESA SANTIAGO,-5.83,CL CL PESO 3890.00 X 0.00149871,PETROBRAS LA DEHESA SANTIAGO
9/18/2025,9/18/2025,AHUM L285 LA DEHESA 45,-18.89,SANTIAGO CL CL PESO 12597.00 X 0.00149956,AHUM L285 LA DEHESA 45
9/18/2025,9/18/2025,REST BAJO ZERO BCOIN33,-11.69,SANTIAGO CL CL PESO 7800.00 X 0.00149871,REST BAJO ZERO BCOIN33
9/18/2025,9/18/2025,RESTAURANT PETTRA SANTIAGO,-82.71,CL CL PESO 55150.00 X 0.00149972,RESTAURANT PETTRA SANTIAGO
9/18/2025,9/18/2025,ROBLES SPA  SANTIAGO,-13.27,CL PESO X 0.00149943 8850.00,ROBLES SPA  SANTIAGO
9/19/2025,9/19/2025,ALTO TRES LTDA SANTIAGO CL,-49.43,CL PESO 33110.00 X 0.00149290,ALTO TRES LTDA SANTIAGO CL
9/19/2025,9/19/2025,AHUM L285 LA DEHESA45,-38.22,SANTIAGO CL CL PESO 25599.00 X 0.00149302,AHUM L285 LA DEHESA45
9/19/2025,9/19/2025,MP *BARBAZUL CLUB SANTIAGO,-64.63,CL CL PESO 43290.00 X 0.00149295,MP *BARBAZUL CLUB SANTIAGO
9/19/2025,9/19/2025,MERPAGO*CABIFY2538YBNO,-11.29,HUECHURABA RM CL PESO 7563.00 X 0.00149279,MERPAGO*CABIFY2538YBNO
9/19/2025,9/19/2025,EL GOLF  SANTIAGO  13,-65.39,CL PESO 43800.00 X 0.00149292,EL GOLF  SANTIAGO  13
